Calendar Year,Decision Type,Nationality,Occupation,Count
2010,Approved,Afghanistan,Butcher or Smallgoods Maker,3
2010,Approved,Afghanistan,University Lecturer,0
2010,Approved,Albania,Baker,0
2010,Approved,Algeria,Telecommunications Network Engineer,0
2010,Approved,Argentina,Accountant (General),0
2010,Approved,Argentina,Agricultural Scientist,3
2010,Approved,Argentina,Airconditioning and Refrigeration Mechanic,3
2010,Approved,Argentina,Cabinetmaker,0
2010,Approved,Argentina,Cafe or Restaurant Manager,0
2010,Approved,Argentina,Chef,6
2010,Approved,Argentina,Chemistry Technician,0
2010,Approved,Argentina,Earth Science Technician,3
2010,Approved,Argentina,Electronics Engineer,3
2010,Approved,Argentina,Fashion Designer,0
2010,Approved,Argentina,Fitness Centre Manager,3
2010,Approved,Argentina,Hotel Service Manager,3
2010,Approved,Argentina,ICT Business Analyst,0
2010,Approved,Argentina,ICT Support Technicians nec,3
2010,Approved,Argentina,Industrial Designer,0
2010,Approved,Argentina,Massage Therapist,3
2010,Approved,Argentina,Multimedia Designer,0
2010,Approved,Argentina,Organisation and Methods Analyst,0
2010,Approved,Argentina,Personal Assistant,0
2010,Approved,Argentina,Research and Development Manager,0
2010,Approved,Argentina,Retail Manager (General),0
2010,Approved,Argentina,Software Engineer,0
2010,Approved,Argentina,Student,0
2010,Approved,Argentina,Supply and Distribution Manager,0
2010,Approved,Argentina,Teacher of English to Speakers of Other Languages,0
2010,Approved,Argentina,University Lecturer,3
2010,Approved,Austria,Airconditioning and Refrigeration Mechanic,0
2010,Approved,Austria,Carpenter,3
2010,Approved,Austria,Chef,0
2010,Approved,Austria,Chemistry Technician,3
2010,Approved,Austria,Corporate Services Manager,3
2010,Approved,Austria,Economist,0
2010,Approved,Austria,Electronics Engineer,0
2010,Approved,Austria,Fitter-Welder,0
2010,Approved,Austria,ICT Managers nec,0
2010,Approved,Austria,Multimedia Designer,3
2010,Approved,Austria,Petroleum Engineer,0
2010,Approved,Austria,Psychiatrist,0
2010,Approved,Austria,Software and Applications Programmers nec,0
2010,Approved,Austria,Software Engineer,3
2010,Approved,Austria,University Lecturer,0
2010,Approved,Bangladesh,Butcher or Smallgoods Maker,3
2010,Approved,Bangladesh,Chef,0
2010,Approved,Bangladesh,Dairy Cattle Farmer,0
2010,Approved,Bangladesh,Fitter-Welder,12
2010,Approved,Bangladesh,Hairdresser,0
2010,Approved,Bangladesh,Licensed Club Manager,3
2010,Approved,Bangladesh,Materials Engineer,0
2010,Approved,Bangladesh,Mechanical Engineering Technician,0
2010,Approved,Bangladesh,Network Administrator,0
2010,Approved,Bangladesh,Print Finisher,0
2010,Approved,Bangladesh,Private Tutors and Teachers nec,0
2010,Approved,Bangladesh,Retail Manager (General),0
2010,Approved,Bangladesh,Software Engineer,3
2010,Approved,Bangladesh,Specialist Managers nec,0
2010,Approved,Bangladesh,Student,0
2010,Approved,Bangladesh,Welder (First Class) (Aus) / Welder (NZ),0
2010,Approved,Barbados,Secondary School Teacher,0
2010,Approved,Belarus,Analyst Programmer,0
2010,Approved,Belarus,Food Technologist,0
2010,Approved,Belgium,Agricultural Technician,0
2010,Approved,Belgium,Biomedical Engineer,0
2010,Approved,Belgium,Computer Network and Systems Engineer,3
2010,Approved,Belgium,Electrical Engineer,3
2010,Approved,Belgium,General Practitioner,3
2010,Approved,Belgium,Graphic Designer,3
2010,Approved,Belgium,Midwife,3
2010,Approved,Belgium,Multimedia Designer,3
2010,Approved,Belgium,Sales and Marketing Manager,3
2010,Approved,Belgium,Student,3
2010,Approved,Belgium,University Lecturer,3
2010,Approved,Bolivia,Laboratory Manager,0
2010,Approved,Botswana,Diesel Motor Mechanic,0
2010,Approved,Botswana,Registered Nurse (Mental Health),0
2010,Approved,Brazil,Accountant (General),0
2010,Approved,Brazil,Advertising Manager,0
2010,Approved,Brazil,Airconditioning and Refrigeration Mechanic,3
2010,Approved,Brazil,Analyst Programmer,3
2010,Approved,Brazil,Arborist,0
2010,Approved,Brazil,"Architectural, Building and Surveying Technicians nec",3
2010,Approved,Brazil,Baker,3
2010,Approved,Brazil,Bricklayer,0
2010,Approved,Brazil,Cabinetmaker,0
2010,Approved,Brazil,Cafe or Restaurant Manager,3
2010,Approved,Brazil,Chef,24
2010,Approved,Brazil,Civil Engineering Draftsperson,0
2010,Approved,Brazil,Computer Network and Systems Engineer,0
2010,Approved,Brazil,Dairy Cattle Farmer,3
2010,Approved,Brazil,Dentist,3
2010,Approved,Brazil,Developer Programmer,6
2010,Approved,Brazil,Dressmaker or Tailor,3
2010,Approved,Brazil,Early Childhood (Pre-primary School) Teacher,6
2010,Approved,Brazil,Electrical Engineer,3
2010,Approved,Brazil,Electrician (General),3
2010,Approved,Brazil,Electronic Equipment Trades Worker,0
2010,Approved,Brazil,Environmental Engineer,0
2010,Approved,Brazil,Environmental Research Scientist,3
2010,Approved,Brazil,Fitter-Welder,3
2010,Approved,Brazil,Footballer,3
